Value,Label
A1STATCT,4: CERTIFICATE ISSUED TO PERSONS NEEDING CERTIFICATION PROGRAM
A1STATCT,5: I DO NOT HOLD ANY OF THE ABOVE CERTIFICATIONS IN THIS STATE
A1HIGHQL,-9: NOT ASCERTAINED
A1HIGHQL,-1: NOT APPLICABLE
A1HIGHQL,1: YES
A1HIGHQL,2: NO
A1HIGHQL,3: DON'T KNOW
A1YRBORN,-9: NOT ASCERTAINED
A1YRBORN,1: BEFORE 1945
A1YRBORN,2: 1945 TO 1949
A1YRBORN,3: 1950 TO 1954
A1YRBORN,4: 1955 TO 1959
A1YRBORN,5: 1960 TO 1964
A1YRBORN,6: 1965 TO 1969
A1YRBORN,7: 1970 TO 1974
A1YRBORN,8: 1975 TO 1979
A1YRBORN,9: 1980 TO 1984
A1YRBORN,10: 1985+
A1HGHSTD,-9: NOT ASCERTAINED
A1HGHSTD,4: ASSOCIATE'S DEGREE OR LESS
A1HGHSTD,5: BACHELOR'S DEGREE
A1HGHSTD,6: MASTER'S DEGREE
A1HGHSTD,7: AN ADVANCED PROFESSIONAL DEGREE BEYOND A MASTER'S DEGREE
A1HGHSTD,8: DON'T KNOW
A1HGHPAR,-9: NOT ASCERTAINED
A1HGHPAR,1: DID NOT COMPLETE HIGH SCHOOL
A1HGHPAR,2: HIGH SCHOOL DIPLOMA OR EQUIVALENT/GED
A1HGHPAR,3: SOME COLLEGE OR TECHNICAL OR VOCATIONAL SCHOOL
A1HGHPAR,4: ASSOCIATE'S DEGREE
A1HGHPAR,5: BACHELOR'S DEGREE
A1HGHPAR,6: MASTER'S DEGREE
A1HGHPAR,7: AN ADVANCED PROFESSIONAL DEGREE BEYOND A MASTER'S DEGREE
A1HGHPAR,8: DON'T KNOW
A1YRSCH,-9: NOT ASCERTAINED
P3DOMATH,-9: NOT ASCERTAINED
P3DOMATH,-8: DON'T KNOW
P3DOMATH,-7: REFUSED
P3DOMATH,1: NEVER
P3DOMATH,2: ONCE OR TWICE A WEEK
P3DOMATH,3: 3-6 TIMES A WEEK
P3DOMATH,4: EVERY DAY
P3DOMATH,5: CHILD AWAY WHOLE SUMMER
P3DOWRIT,-9: NOT ASCERTAINED
P3DOWRIT,-8: DON'T KNOW
P3DOWRIT,-7: REFUSED
P3DOWRIT,-1: NOT APPLICABLE
P3DOWRIT,1: NEVER
P3DOWRIT,2: ONCE OR TWICE A WEEK
P3DOWRIT,3: 3-6 TIMES A WEEK
P3DOWRIT,4: EVERY DAY
P3DOWRIT,5: CHILD AWAY WHOLE SUMMER
P3RDBKTC,-9: NOT ASCERTAINED
P3RDBKTC,-8: DON'T KNOW
P3RDBKTC,-7: REFUSED
P3RDBKTC,-1: NOT APPLICABLE
P3RDBKTC,1: NEVER
P3RDBKTC,2: ONCE OR TWICE A WEEK
P3RDBKTC,3: 3-6 TIMES A WEEK
P3RDBKTC,4: EVERY DAY
P3RDBKTC,5: CHILD AWAY WHOLE SUMMER
P3HWLGRD,-9: NOT ASCERTAINED
P3HWLGRD,-8: DON'T KNOW
P3HWLGRD,-7: REFUSED
P3HWLGRD,-1: NOT APPLICABLE
P3HWLGRD,1: 5 MINUTES OR LESS
P3HWLGRD,2: 6 TO 29 MINUTES
P3HWLGRD,3: 30 TO 45 MINUTES
P3HWLGRD,4: 46 MINUTES OR MORE
P3RDALON,-9: NOT ASCERTAINED
P3RDALON,-8: DON'T KNOW
P3RDALON,-7: REFUSED
P3RDALON,-1: NOT APPLICABLE
P3RDALON,1: NEVER
P3RDALON,2: ONCE OR TWICE A WEEK
P3RDALON,3: 3-6 TIMES A WEEK
P3RDALON,4: EVERY DAY
P3COMEDU,-9: NOT ASCERTAINED
P3COMEDU,-8: DON'T KNOW
P3COMEDU,-7: REFUSED
P3COMEDU,-1: NOT APPLICABLE
P3COMEDU,1: NEVER
P3COMEDU,2: ONCE OR TWICE A WEEK
P3COMEDU,3: 3-6 TIMES A WEEK
P3COMEDU,4: EVERY DAY
P3OUTACT,-9: NOT ASCERTAINED
P3OUTACT,-8: DON'T KNOW
P3OUTACT,-7: REFUSED
P3OUTACT,-1: NOT APPLICABLE
P3OUTACT,1: NEVER
P3OUTACT,2: ONCE OR TWICE A WEEK
P3OUTACT,3: 3-6 TIMES A WEEK
P3OUTACT,4: EVERY DAY
P3TVHR,-9: NOT ASCERTAINED
P3TVHR,-8: DON'T KNOW
P3TVHR,-7: REFUSED
P3TVHR,-1: NOT APPLICABLE
P3TVMIN,-9: NOT ASCERTAINED
P3TVMIN,-8: DON'T KNOW
P3TVMIN,-7: REFUSED
P3TVMIN,-1: NOT APPLICABLE
P3VIDHR,-9: NOT ASCERTAINED
P3VIDHR,-8: DON'T KNOW
P3VIDHR,-7: REFUSED
P3VIDHR,-1: NOT APPLICABLE
P3VIDMIN,-9: NOT ASCERTAINED
P3VIDMIN,-8: DON'T KNOW
P3VIDMIN,-7: REFUSED
P3VIDMIN,-1: NOT APPLICABLE
P3VISLIB,-9: NOT ASCERTAINED
P3VISLIB,-8: DON'T KNOW
P3VISLIB,-7: REFUSED
P3VISLIB,-1: NOT APPLICABLE
P3STHLIB,-9: NOT ASCERTAINED
P3STHLIB,-8: DON'T KNOW
P3STHLIB,-7: REFUSED
P3STHLIB,-1: NOT APPLICABLE
P3STHLIB,1: YES
P3STHLIB,2: NO
P3SUMBK,-9: NOT ASCERTAINED
P3SUMBK,-8: DON'T KNOW
P3SUMBK,-7: REFUSED
P3SUMBK,1: YES
P3SUMBK,2: NO
P3SUMRD,-9: NOT ASCERTAINED
P3SUMRD,-8: DON'T KNOW
P3SUMRD,-7: REFUSED
P3SUMRD,-1: NOT APPLICABLE
P3ARTMUS,-9: NOT ASCERTAINED
P3ARTMUS,-8: DON'T KNOW
P3ARTMUS,-7: REFUSED
P3ARTMUS,-1: NOT APPLICABLE
P3ARTMUS,1: YES
P3ARTMUS,2: NO
P3ZOOS,-9: NOT ASCERTAINED
P3ZOOS,-8: DON'T KNOW
P3ZOOS,-7: REFUSED
P3ZOOS,-1: NOT APPLICABLE
P3ZOOS,1: YES
P3ZOOS,2: NO
P3AMUSPK,-9: NOT ASCERTAINED
P3AMUSPK,-8: DON'T KNOW
P3AMUSPK,-7: REFUSED
P3AMUSPK,-1: NOT APPLICABLE
P3AMUSPK,1: YES
P3AMUSPK,2: NO
P3BEACHS,-9: NOT ASCERTAINED
P3BEACHS,-8: DON'T KNOW
P3BEACHS,-7: REFUSED
P3BEACHS,-1: NOT APPLICABLE
P3BEACHS,1: YES
P3BEACHS,2: NO
P3PLYCRT,-9: NOT ASCERTAINED
P3PLYCRT,-8: DON'T KNOW
P3PLYCRT,-7: REFUSED
P3PLYCRT,-1: NOT APPLICABLE
P3PLYCRT,1: YES
P3PLYCRT,2: NO
P3LRGCTY,-9: NOT ASCERTAINED
P3LRGCTY,-8: DON'T KNOW
P3LRGCTY,-7: REFUSED
P3LRGCTY,-1: NOT APPLICABLE
P3LRGCTY,1: YES
P3LRGCTY,2: NO
P3SUMSCH,-9: NOT ASCERTAINED
P3SUMSCH,-8: DON'T KNOW
P3SUMSCH,-7: REFUSED
P3SUMSCH,1: YES
P3SUMSCH,2: NO
P3NDYPRM,-9: NOT ASCERTAINED
P3NDYPRM,-8: DON'T KNOW
P3NDYPRM,-7: REFUSED
P3NDYPRM,-1: NOT APPLICABLE
P3NHRPRM,-9: NOT ASCERTAINED
P3NHRPRM,-8: DON'T KNOW
P3NHRPRM,-7: REFUSED
P3NHRPRM,-1: NOT APPLICABLE
P3SMREAD,-9: NOT ASCERTAINED
P3SMREAD,-8: DON'T KNOW
P3SMREAD,-7: REFUSED
P3SMREAD,-1: NOT APPLICABLE
P3SMREAD,1: YES
P3SMREAD,2: NO
P3SMMATH,-9: NOT ASCERTAINED
P3SMMATH,-8: DON'T KNOW
P3SMMATH,-7: REFUSED
P3SMMATH,-1: NOT APPLICABLE
P3SMMATH,1: YES
P3SMMATH,2: NO
P3SMSCI,-9: NOT ASCERTAINED
P3SMSCI,-8: DON'T KNOW
P3SMSCI,-7: REFUSED
P3SMSCI,-1: NOT APPLICABLE
P3SMSCI,1: YES
P3SMSCI,2: NO
P3SMART,-9: NOT ASCERTAINED
P3SMART,-8: DON'T KNOW
P3SMART,-7: REFUSED
P3SMART,-1: NOT APPLICABLE
P3SMART,1: YES
P3SMART,2: NO
P3SMMUSI,-9: NOT ASCERTAINED
P3SMMUSI,-8: DON'T KNOW
P3SMMUSI,-7: REFUSED
P3SMMUSI,-1: NOT APPLICABLE
P3SMMUSI,1: YES
P3SMMUSI,2: NO
P3SMCMPT,-9: NOT ASCERTAINED
P3SMCMPT,-8: DON'T KNOW
P3SMCMPT,-7: REFUSED
P3SMCMPT,-1: NOT APPLICABLE
P3SMCMPT,1: YES
P3SMCMPT,2: NO
P3SMREQ,-9: NOT ASCERTAINED
P3SMREQ,-8: DON'T KNOW
P3SMREQ,-7: REFUSED
P3SMREQ,-1: NOT APPLICABLE
P3SMREQ,1: REQUIRED BY THE SCHOOL
P3SMREQ,2: SUGGESTED BY THE SCHOOL
P3SMREQ,3: PARENT DECIDED TO SEND CHILD TO PRGRM
P3DONCMP,-9: NOT ASCERTAINED
P3DONCMP,-8: DON'T KNOW
P3DONCMP,-7: REFUSED
P3DONCMP,1: YES
P3DONCMP,2: NO
P3NUMCMP,-9: NOT ASCERTAINED
P3NUMCMP,-8: DON'T KNOW
P3NUMCMP,-7: REFUSED
P3NUMCMP,-1: NOT APPLICABLE
P3NMDCMP,-9: NOT ASCERTAINED
P3NMDCMP,-8: DON'T KNOW
P3NMDCMP,-7: REFUSED
P3NMDCMP,-1: NOT APPLICABLE
P3NMHCMP,-9: NOT ASCERTAINED
P3NMHCMP,-8: DON'T KNOW
P3NMHCMP,-7: REFUSED
P3NMHCMP,-1: NOT APPLICABLE
P3NMWCMP,-9: NOT ASCERTAINED
P3NMWCMP,-8: DON'T KNOW
P3NMWCMP,-7: REFUSED
P3NMWCMP,-1: NOT APPLICABLE
P3CMPSPT,-9: NOT ASCERTAINED
P3CMPSPT,-8: DON'T KNOW
P3CMPSPT,-7: REFUSED
P3CMPSPT,-1: NOT APPLICABLE
P3CMPSPT,1: YES
P3CMPSPT,2: NO
P3CMPART,-9: NOT ASCERTAINED
P3CMPART,-8: DON'T KNOW
P3CMPART,-7: REFUSED
P3CMPART,-1: NOT APPLICABLE
P3CMPART,1: YES
P3CMPART,2: NO
P3CMPCPT,-9: NOT ASCERTAINED
P3CMPCPT,-8: DON'T KNOW
P3CMPCPT,-7: REFUSED
P3CMPCPT,-1: NOT APPLICABLE
P3CMPCPT,1: YES
P3CMPCPT,2: NO
P3CMPACA,-9: NOT ASCERTAINED
P3CMPACA,-8: DON'T KNOW
P3CMPACA,-7: REFUSED
P3CMPACA,-1: NOT APPLICABLE
P3CMPACA,1: YES
P3CMPACA,2: NO
P3CMPMPA,-9: NOT ASCERTAINED
P3CMPMPA,-8: DON'T KNOW
P3CMPMPA,-7: REFUSED
P3CMPMPA,-1: NOT APPLICABLE
P3CMPMPA,1: YES
P3CMPMPA,2: NO
P3CMPSUP,-9: NOT ASCERTAINED
P3CMPSUP,-8: DON'T KNOW
P3CMPSUP,-7: REFUSED
P3CMPSUP,-1: NOT APPLICABLE
P3CMPSUP,1: YES
P3CMPSUP,2: NO
P3TUTOR,-9: NOT ASCERTAINED
P3TUTOR,-8: DON'T KNOW
P3TUTOR,-7: REFUSED
P3TUTOR,1: YES
P3TUTOR,2: NO
A2REGHLP,-9: NOT ASCERTAINED
A2REGHLP,1: NONE
A2REGHLP,2: 1-25 PERCENT
A2REGHLP,3: 26-50 PERCENT
A2REGHLP,4: 51-75 PERCENT
A2REGHLP,5: 76 PERCENT OR MORE
A4REGHLP,-9: NOT ASCERTAINED
A4REGHLP,1: NONE
A4REGHLP,2: 1-25 PERCENT
A4REGHLP,3: 26-50 PERCENT
A4REGHLP,4: 51-75 PERCENT
A4REGHLP,5: 76 PERCENT OR MORE
A6REGHLP,-9: NOT ASCERTAINED
A6REGHLP,1: NONE
A6REGHLP,2: 1-25 PERCENT
A6REGHLP,3: 26-50 PERCENT
A6REGHLP,4: 51-75 PERCENT
A6REGHLP,5: 76 PERCENT OR MORE
A2TPCONF,-9: NOT ASCERTAINED
A2TPCONF,1: NONE
A2TPCONF,2: 1-25 PERCENT
A2TPCONF,3: 26-50 PERCENT
A2TPCONF,4: 51-75 PERCENT
A2TPCONF,5: 76 PERCENT OR MORE
A4TPCONF,-9: NOT ASCERTAINED
A4TPCONF,1: NONE
A4TPCONF,2: 1-25 PERCENT
A4TPCONF,3: 26-50 PERCENT
A4TPCONF,4: 51-75 PERCENT
A4TPCONF,5: 76 PERCENT OR MORE
A6TPCONF,-9: NOT ASCERTAINED
A6TPCONF,1: NONE
A6TPCONF,2: 1-25 PERCENT
A6TPCONF,3: 26-50 PERCENT
A6TPCONF,4: 51-75 PERCENT
A6TPCONF,5: 76 PERCENT OR MORE
A2ATTOPN,-9: NOT ASCERTAINED
A2ATTOPN,1: NONE
A2ATTOPN,2: 1-25 PERCENT
A2ATTOPN,3: 26-50 PERCENT
A2ATTOPN,4: 51-75 PERCENT
A2ATTOPN,5: 76 PERCENT OR MORE
A4ATTOPN,-9: NOT ASCERTAINED
A4ATTOPN,1: NONE
A4ATTOPN,2: 1-25 PERCENT
A4ATTOPN,3: 26-50 PERCENT
A4ATTOPN,4: 51-75 PERCENT
A4ATTOPN,5: 76 PERCENT OR MORE
A6ATTOPN,-9: NOT ASCERTAINED
A6ATTOPN,1: NONE
A6ATTOPN,2: 1-25 PERCENT
A6ATTOPN,3: 26-50 PERCENT
A6ATTOPN,4: 51-75 PERCENT
A6ATTOPN,5: 76 PERCENT OR MORE
VAR00001,-9: NOT ASCERTAINED
VAR00001,1: NONE
VAR00001,2: 1-25 PERCENT
VAR00001,3: 26-50 PERCENT
VAR00001,4: 51-75 PERCENT
VAR00001,5: 76 PERCENT OR MORE
A4ATTART,-9: NOT ASCERTAINED
A4ATTART,1: NONE
A4ATTART,2: 1-25 PERCENT
A4ATTART,3: 26-50 PERCENT
A4ATTART,4: 51-75 PERCENT
A4ATTART,5: 76 PERCENT OR MORE
A6ATTART,-9: NOT ASCERTAINED
A6ATTART,1: NONE
A6ATTART,2: 1-25 PERCENT
A6ATTART,3: 26-50 PERCENT
A6ATTART,4: 51-75 PERCENT
A6ATTART,5: 76 PERCENT OR MORE
